WKT,Name,Description
"POINT (127.0360425 37.4979118)",Point 1,
"POINT (127.0360532 37.4979153)",Point 2,
"POINT (127.0360606 37.4979188)",Point 4,
"POINT (127.0360683 37.4979217)",Point 5,
"POINT (127.0360764 37.4979246)",Point 6,
"POINT (127.0360847 37.497927)",Point 7,
"POINT (127.0360894 37.4979225)",Point 8,
"POINT (127.0360948 37.4979191)",Point 9,
"POINT (127.0360995 37.4979148)",Point 10,
"POINT (127.0360935 37.4979119)",Point 11,
"POINT (127.0360861 37.4979097)",Point 12,
"POINT (127.0360787 37.4979074)",Point 13,
"POINT (127.0360727 37.497905)",Point 14,
"POINT (127.0360653 37.4979012)",Point 15,
"POINT (127.0360549 37.4978996)",Point 16,
"POINT (127.0360599 37.4978935)",Point 17,
"POINT (127.0360653 37.4978887)",Point 18,
"POINT (127.0360693 37.4978842)",Point 19,
"POINT (127.0360767 37.4978861)",Point 20,
"POINT (127.0360851 37.4978906)",Point 21,
"POINT (127.0360928 37.4978946)",Point 22,
"POINT (127.0361022 37.4978972)",Point 23,
"POINT (127.0361102 37.4979028)",Point 24,
"POINT (127.0361156 37.497898)",Point 25,
"POINT (127.0361233 37.4978943)",Point 26,
"POINT (127.036128 37.4978887)",Point 27,
"POINT (127.0361216 37.4978863)",Point 28,
"POINT (127.0361176 37.4978839)",Point 29,
"POINT (127.0361112 37.4978805)",Point 30,
"POINT (127.0361055 37.4978776)",Point 31,
"POINT (127.0360975 37.4978752)",Point 32,
"POINT (127.0360921 37.4978725)",Point 33,
"POINT (127.0360861 37.4978698)",Point 35,
"POINT (127.0360804 37.4978682)",Point 36,
"POINT (127.0359364 37.4978858)",Point 37,
"POINT (127.0359407 37.4978818)",Point 38,
"POINT (127.0359454 37.4978749)",Point 39,
"POINT (127.0359498 37.4978717)",Point 40,
"POINT (127.0359551 37.497865)",Point 41,
"POINT (127.0359612 37.4978608)",Point 42,
"POINT (127.0359669 37.4978557)",Point 43,
"POINT (127.0359726 37.4978512)",Point 44,
"POINT (127.0359773 37.4978451)",Point 45,
"POINT (127.035983 37.4978413)",Point 46,
"POINT (127.0359883 37.4978365)",Point 47,
"POINT (127.0359944 37.4978294)",Point 48,
"POINT (127.0360007 37.4978248)",Point 49,
"POINT (127.0358763 37.4978625)",Point 50,
"POINT (127.0358726 37.4978569)",Point 51,
"POINT (127.0358689 37.4978515)",Point 52,
"POINT (127.0358683 37.4978449)",Point 53,
"POINT (127.0358689 37.4978393)",Point 54,
"POINT (127.0358716 37.4978337)",Point 55,
"POINT (127.0358753 37.4978257)",Point 56,
"POINT (127.035879 37.4978202)",Point 57,
